"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;14;6;1;2;1;false;785;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;6;1;16;1;false;820;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;3;1;15;1;false;763;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;2;1;12;1;false;1433;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;10;2;1;7;1;false;788;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;0;1;9;1;false;719;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;10;2;1;9;1;false;854;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;6;1;13;1;false;742;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;0;1;7;1;false;1100;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;10;2;1;7;1;false;924;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;15;7;1;14;1;false;797;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;1;1;3;1;false;2366;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;1;1;10;1;false;887;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;9;1;false;1580;
